type_attachement,LIGNE,key,TIME
Encadrement,T5,0,19:30:00
Encadrement,T5,0,20:00:00
Encadrement,T5,0,20:30:00
Encadrement,T5,0,21:00:00
Encadrement,T5,0,21:30:00
Encadrement,T5,0,22:00:00
Encadrement,T5,0,22:30:00
Encadrement,T5,0,23:00:00
Encadrement,T5,0,23:30:00
Encadrement,T5,0,00:00:00
Encadrement,T5,0,00:30:00
Encadrement,T5,0,01:00:00
Encadrement,T5,0,06:00:00
Encadrement,T5,0,06:30:00
Encadrement,T5,0,01:30:00
Encadrement,T5,0,02:00:00
Encadrement,T5,0,02:30:00
Encadrement,T5,0,03:00:00
Encadrement,T5,0,03:30:00
Encadrement,T5,0,04:00:00
Encadrement,T5,0,04:30:00
Encadrement,T5,0,05:00:00
Encadrement,T5,0,05:30:00
Encadrement,T5,0,23:59:00
Agent,T5,0,07:00:00
Agent,T5,0,07:30:00
Agent,T5,0,08:00:00
Agent,T5,0,08:30:00
Agent,T5,0,09:00:00
Agent,T5,0,09:30:00
Agent,T5,0,10:00:00
Agent,T5,0,10:30:00
Agent,T5,0,11:00:00
Agent,T5,0,11:30:00
Agent,T5,0,12:00:00
Agent,T5,0,12:30:00
Agent,T5,0,13:00:00
Agent,T5,0,13:30:00
Agent,T5,0,14:00:00
Agent,T5,0,14:30:00
Agent,T5,0,15:00:00
Agent,T5,0,15:30:00
Agent,T5,0,16:00:00
Agent,T5,0,16:30:00
Agent,T5,0,17:00:00
Agent,T5,0,17:30:00
Agent,T5,0,18:00:00
Agent,T5,0,18:30:00
Agent,T5,0,19:00:00
Agent,T5,0,19:30:00
Agent,T5,0,20:00:00
Agent,T5,0,20:30:00
Agent,T5,0,21:00:00
Agent,T5,0,21:30:00
Agent,T5,0,22:00:00
Agent,T5,0,22:30:00
Agent,T5,0,23:00:00
Agent,T5,0,23:30:00
Agent,T5,0,00:00:00
Agent,T5,0,00:30:00
Agent,T5,0,01:00:00
Agent,T5,0,06:00:00
Agent,T5,0,06:30:00
Agent,T5,0,01:30:00
Agent,T5,0,02:00:00
Agent,T5,0,02:30:00
Agent,T5,0,03:00:00
Agent,T5,0,03:30:00
Agent,T5,0,04:00:00
Agent,T5,0,04:30:00
Agent,T5,0,05:00:00
Agent,T5,0,05:30:00
Agent,T5,0,23:59:00
Logistique,T5,0,07:00:00
Logistique,T5,0,07:30:00
Logistique,T5,0,08:00:00
Logistique,T5,0,08:30:00
Logistique,T5,0,09:00:00
Logistique,T5,0,09:30:00
Logistique,T5,0,10:00:00
Logistique,T5,0,10:30:00
Logistique,T5,0,11:00:00
Logistique,T5,0,11:30:00
Logistique,T5,0,12:00:00
Logistique,T5,0,12:30:00
Logistique,T5,0,13:00:00
Logistique,T5,0,13:30:00
Logistique,T5,0,14:00:00
Logistique,T5,0,14:30:00
Logistique,T5,0,15:00:00
Logistique,T5,0,15:30:00
Logistique,T5,0,16:00:00
Logistique,T5,0,16:30:00
Logistique,T5,0,17:00:00
Logistique,T5,0,17:30:00
Logistique,T5,0,18:00:00
Logistique,T5,0,18:30:00
Logistique,T5,0,19:00:00
Logistique,T5,0,19:30:00
Logistique,T5,0,20:00:00
Logistique,T5,0,20:30:00
Logistique,T5,0,21:00:00
Logistique,T5,0,21:30:00
Logistique,T5,0,22:00:00
Logistique,T5,0,22:30:00
Logistique,T5,0,23:00:00
Logistique,T5,0,23:30:00
Logistique,T5,0,00:00:00
Logistique,T5,0,00:30:00
Logistique,T5,0,01:00:00
Logistique,T5,0,06:00:00
Logistique,T5,0,06:30:00
Logistique,T5,0,01:30:00
Logistique,T5,0,02:00:00
Logistique,T5,0,02:30:00
Logistique,T5,0,03:00:00
Logistique,T5,0,03:30:00
Logistique,T5,0,04:00:00
Logistique,T5,0,04:30:00
Logistique,T5,0,05:00:00
Logistique,T5,0,05:30:00
Logistique,T5,0,23:59:00
Parking,T5,0,07:00:00
Parking,T5,0,07:30:00
Parking,T5,0,08:00:00
Parking,T5,0,08:30:00
Parking,T5,0,09:00:00
Parking,T5,0,09:30:00
Parking,T5,0,10:00:00
Parking,T5,0,10:30:00
Parking,T5,0,11:00:00
Parking,T5,0,11:30:00
Parking,T5,0,12:00:00
Parking,T5,0,12:30:00
Parking,T5,0,13:00:00
Parking,T5,0,13:30:00
Parking,T5,0,14:00:00
Parking,T5,0,14:30:00
Parking,T5,0,15:00:00
Parking,T5,0,15:30:00
Parking,T5,0,16:00:00
Parking,T5,0,16:30:00
Parking,T5,0,17:00:00
Parking,T5,0,17:30:00
Parking,T5,0,18:00:00
Parking,T5,0,18:30:00
Parking,T5,0,19:00:00
Parking,T5,0,19:30:00
Parking,T5,0,20:00:00
Parking,T5,0,20:30:00
Parking,T5,0,21:00:00
Parking,T5,0,21:30:00
Parking,T5,0,22:00:00
Parking,T5,0,22:30:00
Parking,T5,0,23:00:00
Parking,T5,0,23:30:00
Parking,T5,0,00:00:00
Parking,T5,0,00:30:00
Parking,T5,0,01:00:00
Parking,T5,0,06:00:00
Parking,T5,0,06:30:00
Parking,T5,0,01:30:00
Parking,T5,0,02:00:00
Parking,T5,0,02:30:00
Parking,T5,0,03:00:00
Parking,T5,0,03:30:00
Parking,T5,0,04:00:00
Parking,T5,0,04:30:00
Parking,T5,0,05:00:00
Parking,T5,0,05:30:00
Parking,T5,0,23:59:00
Encadrement,T6,0,07:00:00
Encadrement,T6,0,07:30:00
Encadrement,T6,0,08:00:00
Encadrement,T6,0,08:30:00
Encadrement,T6,0,09:00:00
Encadrement,T6,0,09:30:00
Encadrement,T6,0,10:00:00
Encadrement,T6,0,10:30:00
Encadrement,T6,0,11:00:00
Encadrement,T6,0,11:30:00
Encadrement,T6,0,12:00:00
Encadrement,T6,0,12:30:00
Encadrement,T6,0,13:00:00
Encadrement,T6,0,13:30:00
Encadrement,T6,0,14:00:00
Encadrement,T6,0,14:30:00
Encadrement,T6,0,15:00:00
Encadrement,T6,0,15:30:00
Encadrement,T6,0,16:00:00
Encadrement,T6,0,16:30:00
Encadrement,T6,0,17:00:00
Encadrement,T6,0,17:30:00
Encadrement,T6,0,18:00:00
Encadrement,T6,0,18:30:00
Encadrement,T6,0,19:00:00
Encadrement,T6,0,19:30:00
Encadrement,T6,0,20:00:00
Encadrement,T6,0,20:30:00
Encadrement,T6,0,21:00:00
Encadrement,T6,0,21:30:00
Encadrement,T6,0,22:00:00
Encadrement,T6,0,22:30:00
Encadrement,T6,0,23:00:00
Encadrement,T6,0,23:30:00
Encadrement,T6,0,00:00:00
Encadrement,T6,0,00:30:00
Encadrement,T6,0,01:00:00
Encadrement,T6,0,06:00:00
Encadrement,T6,0,06:30:00
Encadrement,T6,0,01:30:00
Encadrement,T6,0,02:00:00
Encadrement,T6,0,02:30:00
Encadrement,T6,0,03:00:00
Encadrement,T6,0,03:30:00
Encadrement,T6,0,04:00:00
Encadrement,T6,0,04:30:00
Encadrement,T6,0,05:00:00
Encadrement,T6,0,05:30:00
Encadrement,T6,0,23:59:00
Agent,T6,0,07:00:00
Agent,T6,0,07:30:00
Agent,T6,0,08:00:00
Agent,T6,0,08:30:00
Agent,T6,0,09:00:00
Agent,T6,0,09:30:00
Agent,T6,0,10:00:00
Agent,T6,0,10:30:00
Agent,T6,0,11:00:00
Agent,T6,0,11:30:00
Agent,T6,0,12:00:00
Agent,T6,0,12:30:00
Agent,T6,0,13:00:00
Agent,T6,0,13:30:00
Agent,T6,0,14:00:00
Agent,T6,0,14:30:00
Agent,T6,0,15:00:00
Agent,T6,0,15:30:00
Agent,T6,0,16:00:00
Agent,T6,0,16:30:00
Agent,T6,0,17:00:00
Agent,T6,0,17:30:00
Agent,T6,0,18:00:00
Agent,T6,0,18:30:00
Agent,T6,0,19:00:00
Agent,T6,0,19:30:00
Agent,T6,0,20:00:00
Agent,T6,0,20:30:00
Agent,T6,0,21:00:00
Agent,T6,0,21:30:00
Agent,T6,0,22:00:00
Agent,T6,0,22:30:00
Agent,T6,0,23:00:00
Agent,T6,0,23:30:00
Agent,T6,0,00:00:00
Agent,T6,0,00:30:00
Agent,T6,0,01:00:00
Agent,T6,0,06:00:00
Agent,T6,0,06:30:00
Agent,T6,0,01:30:00
Agent,T6,0,02:00:00
Agent,T6,0,02:30:00
Agent,T6,0,03:00:00
Agent,T6,0,03:30:00
Agent,T6,0,04:00:00
Agent,T6,0,04:30:00
Agent,T6,0,05:00:00
Agent,T6,0,05:30:00
Agent,T6,0,23:59:00
Logistique,T6,0,07:00:00
Logistique,T6,0,07:30:00
Logistique,T6,0,08:00:00
Logistique,T6,0,08:30:00
Logistique,T6,0,09:00:00
Logistique,T6,0,09:30:00
Logistique,T6,0,10:00:00
Logistique,T6,0,10:30:00
Logistique,T6,0,11:00:00
Logistique,T6,0,11:30:00
Logistique,T6,0,12:00:00
Logistique,T6,0,12:30:00
Logistique,T6,0,13:00:00
Logistique,T6,0,13:30:00
Logistique,T6,0,14:00:00
Logistique,T6,0,14:30:00
Logistique,T6,0,15:00:00
Logistique,T6,0,15:30:00
Logistique,T6,0,16:00:00
